title,price,image
"Caniche Adulto - 7,5 Kg",58.95,http://www.petsonic.com/es/7924-large_default/royal-canin-caniche-adulto.jpg
Caniche Adulto - Pack 2 x 7.5 Kg,116.75,http://www.petsonic.com/es/7924-large_default/royal-canin-caniche-adulto.jpg
"Shih Tzu Cachorro - 1,5 Kg.",16.10,http://www.petsonic.com/es/7983-large_default/royal-canin-shih-tzu-cachorro.jpg
Shih Tzu Cachorro - Pack 2 x 1.5 Kg,31.90,http://www.petsonic.com/es/7983-large_default/royal-canin-shih-tzu-cachorro.jpg
"Shih Tzu Adulto - 1,5 Kg.",13.65,http://www.petsonic.com/es/7982-large_default/royal-canin-shih-tzu-adulto.jpg
Shih Tzu Adulto - Pack 2 x 1.5 Kg,27.05,http://www.petsonic.com/es/7982-large_default/royal-canin-shih-tzu-adulto.jpg
Yorkshire Terrier Cachorro - 500 Gr.,6.20,http://www.petsonic.com/es/7991-large_default/royal-canin-yorkshire-terrier-cachorro.jpg
"Yorkshire Terrier Cachorro - 1,5 Kg.",16.10,http://www.petsonic.com/es/7991-large_default/royal-canin-yorkshire-terrier-cachorro.jpg
Yorkshire Terrier Cachorro - Pack 2 x 1.5 Kg,31.90,http://www.petsonic.com/es/7991-large_default/royal-canin-yorkshire-terrier-cachorro.jpg
"Yorkshire Terrier Adulto - 1,5 Kg.",14.15,http://www.petsonic.com/es/7990-large_default/royal-canin-yorkshire-terrier-adulto.jpg
Yorkshire Terrier Adulto - 3 Kg.,26.50,http://www.petsonic.com/es/7990-large_default/royal-canin-yorkshire-terrier-adulto.jpg
"Yorkshire Terrier Adulto - 7,5 Kg",60.50,http://www.petsonic.com/es/7990-large_default/royal-canin-yorkshire-terrier-adulto.jpg
Yorkshire Terrier Adulto - Pack 2 x 7.5 Kg,119.80,http://www.petsonic.com/es/7990-large_default/royal-canin-yorkshire-terrier-adulto.jpg
"Bichon Maltese Adulto - 1,5 Kg.",14.15,http://www.petsonic.com/es/7916-large_default/royal-canin-bichon-maltese-adulto.jpg
Bichon Maltese Adulto - Pack 2 x 1.5 Kg,28.05,http://www.petsonic.com/es/7916-large_default/royal-canin-bichon-maltese-adulto.jpg
"West Highland White Terrier Adulto - 1,5 Kg.",14.15,http://www.petsonic.com/es/7985-large_default/royal-canin-west-highland-white-terrier-adulto.jpg
West Highland White Terrier Adulto - 3 Kg.,26.50,http://www.petsonic.com/es/7985-large_default/royal-canin-west-highland-white-terrier-adulto.jpg
West Highland White Terrier Adulto - Pack 2 x 3 Kg,52.50,http://www.petsonic.com/es/7985-large_default/royal-canin-west-highland-white-terrier-adulto.jpg
"Cavalier King Charles Adulto - 1,5 Kg.",12.90,http://www.petsonic.com/es/7946-large_default/royal-canin-king-charles-spaniel-adulto.jpg
Cavalier King Charles Adulto - Pack 2 x 1.5 Kg,25.55,http://www.petsonic.com/es/7946-large_default/royal-canin-king-charles-spaniel-adulto.jpg
"Carlino Cachorro - 1,5 Kg.",14.90,http://www.petsonic.com/es/7926-large_default/royal-canin-carlino-cachorro.jpg
